Abundance;Location;Species;year
1700;Kattegat;Harbour seal;1979
2400;Kattegat;Harbour seal;1980
2600;Kattegat;Harbour seal;1981
3000;Kattegat;Harbour seal;1983
2000;Kattegat;Harbour seal;1984
4000;Kattegat;Harbour seal;1985
4200;Kattegat;Harbour seal;1986
3500;Kattegat;Harbour seal;1987
2400;Kattegat;Harbour seal;1988
2500;Kattegat;Harbour seal;1989
2400;Kattegat;Harbour seal;1990
3200;Kattegat;Harbour seal;1991
3000;Kattegat;Harbour seal;1992
3500;Kattegat;Harbour seal;1994
4850;Kattegat;Harbour seal;1996
5600;Kattegat;Harbour seal;1998
5200;Kattegat;Harbour seal;2000
3500;Kattegat;Harbour seal;2002
4700;Kattegat;Harbour seal;2003
3350;Kattegat;Harbour seal;2004
5200;Kattegat;Harbour seal;2005
4900;Kattegat;Harbour seal;2006
4500;Kattegat;Harbour seal;2007
6000;Kattegat;Harbour seal;2008
6250;Kattegat;Harbour seal;2009
8100;Kattegat;Harbour seal;2010
7600;Kattegat;Harbour seal;2011
7450;Kattegat;Harbour seal;2012
8700;Kattegat;Harbour seal;2013
7800;Kattegat;Harbour seal;2014
8500;Kattegat;Harbour seal;2015
8700;Kattegat;Harbour seal;2016
200;Western Baltic;Harbour seal;1988
200;Western Baltic;Harbour seal;1989
300;Western Baltic;Harbour seal;1990
300;Western Baltic;Harbour seal;1991
300;Western Baltic;Harbour seal;1992
300;Western Baltic;Harbour seal;1994
500;Western Baltic;Harbour seal;1996
500;Western Baltic;Harbour seal;1998
700;Western Baltic;Harbour seal;2000
400;Western Baltic;Harbour seal;2002
750;Western Baltic;Harbour seal;2003
900;Western Baltic;Harbour seal;2004
1100;Western Baltic;Harbour seal;2005
800;Western Baltic;Harbour seal;2006
900;Western Baltic;Harbour seal;2007
1300;Western Baltic;Harbour seal;2008
950;Western Baltic;Harbour seal;2009
1250;Western Baltic;Harbour seal;2010
1350;Western Baltic;Harbour seal;2011
1250;Western Baltic;Harbour seal;2012
1500;Western Baltic;Harbour seal;2013
1400;Western Baltic;Harbour seal;2014
1500;Western Baltic;Harbour seal;2015
1600;Western Baltic;Harbour seal;2016
0;Western Baltic;Grey seal;2002
0;Western Baltic;Grey seal;2003
20;Western Baltic;Grey seal;2004
0;Western Baltic;Grey seal;2005
10;Western Baltic;Grey seal;2006
30;Western Baltic;Grey seal;2007
50;Western Baltic;Grey seal;2008
70;Western Baltic;Grey seal;2009
95;Western Baltic;Grey seal;2010
70;Western Baltic;Grey seal;2011
160;Western Baltic;Grey seal;2012
140;Western Baltic;Grey seal;2013
250;Western Baltic;Grey seal;2014
850;Western Baltic;Grey seal;2015
590;Western Baltic;Grey seal;2016
39100;Kattegat;Harbour Porpoise;1994
17000;Kattegat;Harbour Porpoise;2005
25500;Kattegat;Harbour Porpoise;2012
44625;Kattegat;Harbour Porpoise;2016
17000;Kattegat;Harbour Porpoise;2020
1000;Cormorant nests;Denmark;1975
1000;Cormorant nests;Denmark;1976
1000;Cormorant nests;Denmark;1977
1400;Cormorant nests;Denmark;1978
1700;Cormorant nests;Denmark;1979
2000;Cormorant nests;Denmark;1980
2500;Cormorant nests;Denmark;1981
3300;Cormorant nests;Denmark;1982
4500;Cormorant nests;Denmark;1983
6000;Cormorant nests;Denmark;1984
7500;Cormorant nests;Denmark;1985
9500;Cormorant nests;Denmark;1986
12000;Cormorant nests;Denmark;1987
13800;Cormorant nests;Denmark;1988
18500;Cormorant nests;Denmark;1989
23000;Cormorant nests;Denmark;1990
28500;Cormorant nests;Denmark;1991
33000;Cormorant nests;Denmark;1992
36500;Cormorant nests;Denmark;1993
37500;Cormorant nests;Denmark;1994
38000;Cormorant nests;Denmark;1995
40500;Cormorant nests;Denmark;1996
36500;Cormorant nests;Denmark;1997
39000;Cormorant nests;Denmark;1998
39500;Cormorant nests;Denmark;1999
42500;Cormorant nests;Denmark;2000
39000;Cormorant nests;Denmark;2001
40500;Cormorant nests;Denmark;2002
37000;Cormorant nests;Denmark;2003
39500;Cormorant nests;Denmark;2004
39500;Cormorant nests;Denmark;2005
38000;Cormorant nests;Denmark;2006
34500;Cormorant nests;Denmark;2007
33000;Cormorant nests;Denmark;2008
32500;Cormorant nests;Denmark;2009
27500;Cormorant nests;Denmark;2010
25500;Cormorant nests;Denmark;2011
27000;Cormorant nests;Denmark;2012
25000;Cormorant nests;Denmark;2013
31500;Cormorant nests;Denmark;2014
31000;Cormorant nests;Denmark;2015
31500;Cormorant nests;Denmark;2016
32500;Cormorant nests;Denmark;2017
31500;Cormorant nests;Denmark;2018
30500;Cormorant nests;Denmark;2019
32000;Cormorant nests;Denmark;2020
30800;Cormorant nests;Denmark;2021
30400;Cormorant nests;Denmark;2022
30600;Cormorant nests;Denmark;2023
